longtitude,latitude,RSSI,inside_building,floor_no
51.538697, -0.009433,-88,false,n/a
51.538614, -0.009307,-104,false,n/a
51.538529, -0.009566,-102,false,n/a
51.53853788137823, -0.009846215092155216,-83,false,n/a
51.538322680942215, -0.00982430345598245,-91,false,n/a
51.538192905624385, -0.00975639826378907,-98,false,n/a
51.53836216213645, -0.009704653040638753,-103,true,3
51.53836216213645, -0.009704653040638753,-109,true,2
51.53836216213645, -0.009704653040638753,-103,true,1
51.53845433369267, -0.009896168215395464,-100,true,0
51.538727434519586, -0.009950462582400604,-84, false,n/a
51.53903042926145, -0.01008518913392576,-77,false,n/a
51.539250648403076, -0.010172803159013774,-85,false,n/a
51.53929189786375, -0.01053369249233383,-76,false,n/a
51.54003416166096, -0.011505176001795504,-80,false,n/a
51.540769412175415, -0.011415808222842133,-99,false,n/a
51.54039160109005, -0.012317386385737377,-88,false,n/a
51.54055625881653, -0.013811598032495034,-94,false,n/a
51.54136191234448, -0.014015088976747041,-89,false,n/a
51.541415755311355, -0.01489677673821339,-99,false,n/a
51.54203832069246, -0.016038532403239738,-93,false,n/a
51.542258814155026, -0.01685804956603076,-101,false,n/a
51.54295165383987, -0.017568188003996853,-106,false,n/a
51.54417281737176, -0.01808750589446323,-105,false,n/a
51.545021494702645, -0.019268840077135443,-106,false,n/a
51.54692305821602, -0.020589165533270764,-107,false,n/a
51.548073030331985, -0.021638769828189023,-115,false,n/a
51.54906608153773, -0.022336106054656354,-118,false,n/a
51.549430441967324, -0.022139306895806905,-118,false,n/a
51.549844364004684, -0.02284600578515969,-122,false,n/a
51.5382372384616, -0.010154882370261893,-95,false,n/a
51.53782637776259, -0.00988633503610328,-100,false,n/a
51.537691749369415, -0.009424052963307875,-95,false,n/a
51.538199611268304, -0.008899276578560725,-102,false,n/a
51.53848322339952, -0.008706231184184841,-98,false,n/a
51.5388076840882, -0.009292182591125646,-91,false,n/a
51.53885100631932, -0.00954843871108172,-80,false,n/a
51.53870223395264, -0.009865307267446688,-66,false,n/a
