,datetime,Light
102,2023-08-21 12:08:24.418770+00:00,3130.833
103,2023-08-21 12:18:41.000997+00:00,3115.833
104,2023-08-21 12:28:57.666855+00:00,3369.167
105,2023-08-21 12:39:13.939198+00:00,3481.667
106,2023-08-21 12:49:30.416913+00:00,3447.5
107,2023-08-21 12:59:46.723608+00:00,3556.667
108,2023-08-21 13:10:02.900607+00:00,3771.666
109,2023-08-21 13:20:19.446857+00:00,3896.666
110,2023-08-21 13:30:35.665083+00:00,4178.333
111,2023-08-21 13:40:51.902284+00:00,4443.333
112,2023-08-21 13:51:08.691229+00:00,4893.333
113,2023-08-21 14:01:25.092086+00:00,5500.0
114,2023-08-21 14:11:41.494826+00:00,6045.833
115,2023-08-21 14:21:57.822063+00:00,5436.666
116,2023-08-21 14:32:13.875726+00:00,5882.5
117,2023-08-21 14:42:30.043285+00:00,6376.667
118,2023-08-21 14:52:46.709221+00:00,7630.0
119,2023-08-21 15:03:02.953391+00:00,6897.499
120,2023-08-21 15:13:19.416582+00:00,7299.999
121,2023-08-21 15:23:36.037959+00:00,38133.33
122,2023-08-21 15:33:53.512829+00:00,54612.49
123,2023-08-21 15:44:10.643550+00:00,7995.833
124,2023-08-21 15:54:26.859056+00:00,54612.49
125,2023-08-21 16:04:43.639840+00:00,54612.49
126,2023-08-21 16:15:00.239061+00:00,54612.49
127,2023-08-21 16:25:16.742495+00:00,54612.49
128,2023-08-21 16:35:33.916440+00:00,54612.49
129,2023-08-21 16:45:50.361455+00:00,35250.83
130,2023-08-21 16:56:06.190718+00:00,54612.49
131,2023-08-21 17:06:22.738633+00:00,54612.49
132,2023-08-21 17:16:39.330499+00:00,52094.99
133,2023-08-21 17:26:56.421605+00:00,47330.83
134,2023-08-21 17:37:12.665806+00:00,3177.5
135,2023-08-21 17:47:27.235089+00:00,4072.5
136,2023-08-21 17:57:42.577440+00:00,17048.33
137,2023-08-21 18:07:58.214564+00:00,3964.166
138,2023-08-21 18:18:14.023457+00:00,21435.0
139,2023-08-21 18:28:30.957393+00:00,2857.5
140,2023-08-21 18:38:46.502936+00:00,919.1666
141,2023-08-21 18:49:01.820641+00:00,849.1666
142,2023-08-21 18:59:17.363666+00:00,313.3333
143,2023-08-21 19:09:33.289325+00:00,135.0
144,2023-08-21 19:36:14.024570+00:00,6.666667
145,2023-08-21 19:46:16.152633+00:00,3.333333
146,2023-08-21 19:56:31.941683+00:00,1.666667
147,2023-08-21 20:06:48.051752+00:00,1.666667
148,2023-08-21 20:17:03.986822+00:00,1.666667
149,2023-08-21 20:27:19.901302+00:00,0.8333333
150,2023-08-21 20:37:35.731255+00:00,0.8333333
151,2023-08-21 20:47:52.104491+00:00,0.8333333
152,2023-08-21 20:58:08.029479+00:00,0.8333333
153,2023-08-21 21:08:24.405517+00:00,0.8333333
154,2023-08-21 21:18:40.486828+00:00,0.8333333
155,2023-08-21 21:28:56.761540+00:00,1.666667
156,2023-08-21 21:39:12.954838+00:00,1.666667
157,2023-08-21 21:49:29.484316+00:00,1.666667
158,2023-08-21 21:59:45.716958+00:00,1.666667
159,2023-08-21 22:10:01.789127+00:00,1.666667
160,2023-08-21 22:20:18.031848+00:00,1.666667
161,2023-08-21 22:30:34.055853+00:00,1.666667
162,2023-08-21 22:40:50.276856+00:00,1.666667
163,2023-08-21 22:51:06.416737+00:00,1.666667
164,2023-08-21 23:01:22.664176+00:00,1.666667
165,2023-08-21 23:11:38.853687+00:00,1.666667
166,2023-08-21 23:21:54.825255+00:00,1.666667
167,2023-08-21 23:32:11.094973+00:00,1.666667
168,2023-08-21 23:42:27.090275+00:00,1.666667
169,2023-08-21 23:52:43.202605+00:00,0.8333333
170,2023-08-22 00:02:59.266779+00:00,0.8333333
171,2023-08-22 00:13:15.479352+00:00,0.8333333
172,2023-08-22 00:23:31.883774+00:00,0.8333333
173,2023-08-22 00:33:48.109914+00:00,0.8333333
174,2023-08-22 00:44:04.224800+00:00,0.8333333
175,2023-08-22 00:54:20.590968+00:00,0.8333333
176,2023-08-22 01:04:36.563335+00:00,0.8333333
177,2023-08-22 01:14:52.945236+00:00,0.8333333
178,2023-08-22 01:25:09.063118+00:00,0.8333333
179,2023-08-22 01:35:25.035271+00:00,0.8333333
180,2023-08-22 01:45:40.937342+00:00,0.8333333
181,2023-08-22 01:55:57.358692+00:00,0.8333333
182,2023-08-22 02:06:13.624291+00:00,0.8333333
183,2023-08-22 02:16:29.718408+00:00,0.8333333
184,2023-08-22 02:27:00.606502+00:00,0.8333333
185,2023-08-22 02:37:09.330260+00:00,0.8333333
186,2023-08-22 02:47:25.892829+00:00,0.8333333
187,2023-08-22 02:57:42.240216+00:00,0.8333333
188,2023-08-22 03:07:58.239080+00:00,0.8333333
189,2023-08-22 03:18:14.445793+00:00,0.8333333
190,2023-08-22 03:28:30.787706+00:00,0.8333333
191,2023-08-22 03:38:47.312044+00:00,0.8333333
192,2023-08-22 03:49:03.804292+00:00,0.8333333
193,2023-08-22 03:59:20.326027+00:00,0.8333333
194,2023-08-22 04:09:36.618192+00:00,0.8333333
195,2023-08-22 04:19:53.075988+00:00,1.666667
196,2023-08-22 04:30:09.405067+00:00,2.5
197,2023-08-22 04:40:25.595434+00:00,10.83333
198,2023-08-22 04:50:41.863604+00:00,36.66667
199,2023-08-22 05:00:58.189630+00:00,70.83333
200,2023-08-22 05:11:14.628795+00:00,141.6667
201,2023-08-22 05:21:30.553967+00:00,244.1667
202,2023-08-22 05:31:47.102972+00:00,376.6666
203,2023-08-22 05:42:03.503071+00:00,542.5
204,2023-08-22 05:52:19.770859+00:00,698.3333
205,2023-08-22 06:02:35.738258+00:00,910.8333
206,2023-08-22 06:12:51.567800+00:00,1107.5
207,2023-08-22 06:23:07.729699+00:00,1455.833
208,2023-08-22 06:33:23.507221+00:00,1685.833
209,2023-08-22 06:43:39.828646+00:00,1893.333
210,2023-08-22 06:53:56.203309+00:00,2047.5
211,2023-08-22 07:04:12.162784+00:00,2323.333
212,2023-08-22 07:14:28.035766+00:00,2541.667
213,2023-08-22 07:24:44.976039+00:00,2605.0
214,2023-08-22 07:35:00.578365+00:00,2892.5
215,2023-08-22 07:45:17.560642+00:00,2740.0
216,2023-08-22 07:55:33.415987+00:00,2298.333
217,2023-08-22 08:05:49.249580+00:00,3399.167
218,2023-08-22 08:16:06.283559+00:00,4425.0
219,2023-08-22 08:26:23.128928+00:00,3769.167
220,2023-08-22 08:36:39.912800+00:00,5042.5
221,2023-08-22 08:46:55.726841+00:00,2866.667
222,2023-08-22 08:57:12.526936+00:00,3439.166
223,2023-08-22 09:07:28.846864+00:00,3601.666
224,2023-08-22 09:17:44.981531+00:00,4271.667
225,2023-08-22 09:28:01.678944+00:00,3760.0
226,2023-08-22 09:38:18.387298+00:00,3754.166
227,2023-08-22 09:48:35.073485+00:00,4685.0
228,2023-08-22 09:58:51.717746+00:00,4305.833
229,2023-08-22 10:09:07.777517+00:00,4173.333
230,2023-08-22 10:19:23.745268+00:00,4040.0
231,2023-08-22 10:29:40.058154+00:00,4349.166
232,2023-08-22 10:39:56.683802+00:00,3384.166
233,2023-08-22 10:50:13.053971+00:00,4565.0
234,2023-08-22 11:00:29.402341+00:00,4865.833
235,2023-08-22 11:10:45.731192+00:00,4420.0
236,2023-08-22 11:21:02.407252+00:00,3251.666
237,2023-08-22 11:31:18.678329+00:00,3129.166
238,2023-08-22 11:41:35.078709+00:00,3680.0
239,2023-08-22 11:51:51.422376+00:00,3750.0
240,2023-08-22 12:02:08.275446+00:00,4174.167
241,2023-08-22 12:12:24.446392+00:00,4355.0
242,2023-08-22 12:22:40.858165+00:00,3455.0
243,2023-08-22 12:32:57.288045+00:00,4292.5
244,2023-08-22 12:43:13.685161+00:00,3951.666
245,2023-08-22 12:53:30.310781+00:00,4167.5
246,2023-08-22 13:03:47.051275+00:00,4085.0
247,2023-08-22 13:14:03.343972+00:00,5413.333
