,datetime,Temperature
103,2023-08-21 12:18:41.001194+00:00,22.16144
104,2023-08-21 12:28:57.667174+00:00,22.36172
105,2023-08-21 12:39:13.939333+00:00,22.67147
106,2023-08-21 12:49:30.417065+00:00,22.94118
107,2023-08-21 12:59:46.723823+00:00,23.0827
108,2023-08-21 13:10:02.900726+00:00,22.9839
109,2023-08-21 13:20:19.447174+00:00,23.19485
110,2023-08-21 13:30:35.665278+00:00,23.33639
111,2023-08-21 13:40:51.902401+00:00,23.60609
112,2023-08-21 13:51:08.691425+00:00,23.69154
113,2023-08-21 14:01:25.092242+00:00,24.10277
114,2023-08-21 14:11:41.495065+00:00,24.32708
115,2023-08-21 14:21:57.822196+00:00,25.02403
116,2023-08-21 14:32:13.876003+00:00,24.87984
117,2023-08-21 14:42:30.043556+00:00,24.83711
118,2023-08-21 14:52:46.709345+00:00,25.05074
119,2023-08-21 15:03:02.953514+00:00,25.08011
120,2023-08-21 15:13:19.416751+00:00,26.25506
121,2023-08-21 15:23:36.038156+00:00,26.70901
122,2023-08-21 15:33:53.512925+00:00,27.91066
123,2023-08-21 15:44:10.643914+00:00,28.64767
124,2023-08-21 15:54:26.859526+00:00,28.10826
125,2023-08-21 16:04:43.640149+00:00,29.77989
126,2023-08-21 16:15:00.239241+00:00,28.87465
127,2023-08-21 16:25:16.742702+00:00,30.53292
128,2023-08-21 16:35:33.916557+00:00,31.46487
129,2023-08-21 16:45:50.361697+00:00,29.65438
130,2023-08-21 16:56:06.190829+00:00,29.87869
131,2023-08-21 17:06:22.738846+00:00,30.73052
132,2023-08-21 17:16:39.330720+00:00,31.72122
133,2023-08-21 17:26:56.421836+00:00,32.4876
134,2023-08-21 17:37:12.666091+00:00,29.62501
135,2023-08-21 17:47:27.235225+00:00,26.63424
136,2023-08-21 17:57:42.577676+00:00,26.28443
137,2023-08-21 18:07:58.214752+00:00,25.44595
138,2023-08-21 18:18:14.023839+00:00,26.25506
139,2023-08-21 18:28:30.957833+00:00,25.71564
140,2023-08-21 18:38:46.503192+00:00,24.22827
141,2023-08-21 18:49:01.820852+00:00,23.50729
142,2023-08-21 18:59:17.363885+00:00,23.0106
143,2023-08-21 19:09:33.289556+00:00,22.58602
144,2023-08-21 19:36:14.024733+00:00,22.01991
145,2023-08-21 19:46:16.152936+00:00,21.75288
146,2023-08-21 19:56:31.942034+00:00,21.41108
147,2023-08-21 20:06:48.051979+00:00,21.17075
148,2023-08-21 20:17:03.986978+00:00,21.05592
149,2023-08-21 20:27:19.901526+00:00,20.9144
150,2023-08-21 20:37:35.731510+00:00,20.60197
151,2023-08-21 20:47:52.104730+00:00,20.44709
152,2023-08-21 20:58:08.029713+00:00,20.30556
153,2023-08-21 21:08:24.405788+00:00,20.18005
154,2023-08-21 21:18:40.487041+00:00,20.0946
155,2023-08-21 21:28:56.761801+00:00,19.78218
156,2023-08-21 21:39:12.955082+00:00,19.69672
157,2023-08-21 21:49:29.484458+00:00,19.44305
158,2023-08-21 21:59:45.717150+00:00,19.24544
159,2023-08-21 22:10:01.789227+00:00,19.11726
160,2023-08-21 22:20:18.032054+00:00,19.01846
161,2023-08-21 22:30:34.056065+00:00,18.94904
162,2023-08-21 22:40:50.277591+00:00,18.70604
163,2023-08-21 22:51:06.416849+00:00,18.60723
164,2023-08-21 23:01:22.664371+00:00,18.42565
165,2023-08-21 23:11:38.853925+00:00,18.2414
166,2023-08-21 23:21:54.825428+00:00,18.29747
167,2023-08-21 23:32:11.095173+00:00,18.02777
168,2023-08-21 23:42:27.090491+00:00,17.85687
169,2023-08-21 23:52:43.202809+00:00,17.80079
170,2023-08-22 00:02:59.267026+00:00,17.83017
171,2023-08-22 00:13:15.479493+00:00,17.60319
172,2023-08-22 00:23:31.884186+00:00,17.47501
173,2023-08-22 00:33:48.110164+00:00,17.41894
174,2023-08-22 00:44:04.224915+00:00,17.19196
175,2023-08-22 00:54:20.591191+00:00,17.01038
176,2023-08-22 01:04:36.563609+00:00,16.95163
177,2023-08-22 01:14:52.945435+00:00,16.78073
178,2023-08-22 01:25:09.063482+00:00,16.76738
179,2023-08-22 01:35:25.035516+00:00,16.66858
180,2023-08-22 01:45:40.937622+00:00,16.54307
181,2023-08-22 01:55:57.358943+00:00,16.48432
182,2023-08-22 02:06:13.624510+00:00,16.44427
183,2023-08-22 02:16:29.718624+00:00,16.34279
184,2023-08-22 02:27:00.606693+00:00,16.31342
185,2023-08-22 02:37:09.330674+00:00,16.35614
186,2023-08-22 02:47:25.893034+00:00,16.21462
187,2023-08-22 02:57:42.240417+00:00,16.24399
188,2023-08-22 03:07:58.239303+00:00,16.24399
189,2023-08-22 03:18:14.445982+00:00,16.21462
190,2023-08-22 03:28:30.787905+00:00,16.18792
191,2023-08-22 03:38:47.312393+00:00,16.30007
192,2023-08-22 03:49:03.804543+00:00,16.34279
193,2023-08-22 03:59:20.326283+00:00,16.3695
194,2023-08-22 04:09:36.618423+00:00,16.45762
195,2023-08-22 04:19:53.076256+00:00,16.50034
196,2023-08-22 04:30:09.405171+00:00,16.47097
197,2023-08-22 04:40:25.595661+00:00,16.44427
198,2023-08-22 04:50:41.863808+00:00,16.42825
199,2023-08-22 05:00:58.189779+00:00,16.56977
200,2023-08-22 05:11:14.629020+00:00,16.6125
201,2023-08-22 05:21:30.554177+00:00,16.55642
202,2023-08-22 05:31:47.103297+00:00,16.69795
203,2023-08-22 05:42:03.503194+00:00,16.78073
204,2023-08-22 05:52:19.771045+00:00,16.8368
205,2023-08-22 06:02:35.738506+00:00,17.06645
206,2023-08-22 06:12:51.567916+00:00,17.19196
207,2023-08-22 06:23:07.729824+00:00,17.27741
208,2023-08-22 06:33:23.507352+00:00,17.47501
209,2023-08-22 06:43:39.828852+00:00,17.70199
210,2023-08-22 06:53:56.203456+00:00,17.70199
211,2023-08-22 07:04:12.163001+00:00,17.98505
212,2023-08-22 07:14:28.035950+00:00,18.05447
213,2023-08-22 07:24:44.976181+00:00,18.2414
214,2023-08-22 07:35:00.578510+00:00,18.59388
215,2023-08-22 07:45:17.560822+00:00,18.69268
216,2023-08-22 07:55:33.416164+00:00,18.58053
217,2023-08-22 08:05:49.249739+00:00,18.64996
218,2023-08-22 08:16:06.283729+00:00,19.00511
219,2023-08-22 08:26:23.129194+00:00,19.34425
220,2023-08-22 08:36:39.912949+00:00,19.65667
221,2023-08-22 08:46:55.726996+00:00,19.79553
222,2023-08-22 08:57:12.527155+00:00,20.05188
223,2023-08-22 09:07:28.847115+00:00,20.22278
224,2023-08-22 09:17:44.981664+00:00,20.66071
225,2023-08-22 09:28:01.679040+00:00,20.84497
226,2023-08-22 09:38:18.387517+00:00,21.20012
227,2023-08-22 09:48:35.073620+00:00,21.2562
228,2023-08-22 09:58:51.718025+00:00,21.50988
229,2023-08-22 10:09:07.777613+00:00,21.73686
230,2023-08-22 10:19:23.745446+00:00,21.86504
231,2023-08-22 10:29:40.058384+00:00,22.23087
232,2023-08-22 10:39:56.684005+00:00,22.36172
233,2023-08-22 10:50:13.054124+00:00,22.11871
234,2023-08-22 11:00:29.402547+00:00,22.36172
235,2023-08-22 11:10:45.731282+00:00,22.87175
236,2023-08-22 11:21:02.407373+00:00,22.79698
237,2023-08-22 11:31:18.678657+00:00,22.62875
238,2023-08-22 11:41:35.078931+00:00,22.69817
239,2023-08-22 11:51:51.422632+00:00,22.6421
240,2023-08-22 12:02:08.275705+00:00,22.87175
241,2023-08-22 12:12:24.446591+00:00,23.23758
242,2023-08-22 12:22:40.858376+00:00,23.45121
243,2023-08-22 12:32:57.288352+00:00,23.36576
244,2023-08-22 12:43:13.686560+00:00,23.46456
245,2023-08-22 12:53:30.310989+00:00,24.01732
246,2023-08-22 13:03:47.051479+00:00,24.18555
247,2023-08-22 13:14:03.344126+00:00,24.57008
248,2023-08-22 13:24:19.597732+00:00,24.57008
249,2023-08-22 13:34:36.017775+00:00,24.7116
250,2023-08-22 13:44:51.987250+00:00,25.17891
251,2023-08-22 13:55:08.912283+00:00,25.34714
252,2023-08-22 14:05:25.420549+00:00,25.65957
253,2023-08-22 14:15:41.918021+00:00,25.70229
254,2023-08-22 14:25:58.181965+00:00,25.14954
255,2023-08-22 14:36:14.349822+00:00,25.44595
256,2023-08-22 19:41:29.938025+00:00,22.57267
257,2023-08-22 19:51:31.565488+00:00,22.01991
258,2023-08-22 20:01:46.915337+00:00,21.7235
259,2023-08-22 20:12:03.150795+00:00,21.52323
260,2023-08-22 20:22:18.899633+00:00,21.34165
261,2023-08-22 20:32:35.413802+00:00,21.112
262,2023-08-22 20:42:51.193944+00:00,20.83162
263,2023-08-22 20:53:07.384598+00:00,20.77554
264,2023-08-22 21:03:23.867943+00:00,20.63401
265,2023-08-22 21:13:39.769553+00:00,20.39101
266,2023-08-22 21:23:56.186056+00:00,20.36164
267,2023-08-22 21:34:12.308668+00:00,21.355
268,2023-08-22 21:44:29.711557+00:00,22.89845
269,2023-08-22 21:54:46.645846+00:00,23.67552
270,2023-08-22 22:05:03.663068+00:00,24.01732
271,2023-08-22 22:15:20.164258+00:00,24.28436
272,2023-08-22 22:25:36.616738+00:00,24.43923
273,2023-08-22 22:35:53.062794+00:00,24.62615
274,2023-08-22 22:46:09.694213+00:00,24.66888
275,2023-08-22 22:56:25.943766+00:00,24.69558
276,2023-08-22 23:06:42.684563+00:00,24.72495
277,2023-08-22 23:16:59.491071+00:00,24.78104
278,2023-08-22 23:27:15.717002+00:00,24.83711
279,2023-08-22 23:37:32.306947+00:00,24.85313
280,2023-08-22 23:47:49.039865+00:00,24.79439
281,2023-08-22 23:58:05.274304+00:00,24.76768
282,2023-08-23 00:08:21.903141+00:00,24.92256
283,2023-08-23 00:18:38.450962+00:00,24.83711
284,2023-08-23 00:28:54.949355+00:00,24.92256
285,2023-08-23 00:39:11.220612+00:00,24.92256
286,2023-08-23 00:49:27.560944+00:00,24.87984
287,2023-08-23 00:59:44.147785+00:00,24.94926
